batter,total_runs,balls_faced,fours,sixes,innings,strike_rate,dismissals,batting_avg,centuries,half_centuries
A Badoni,634,505,46,24,35,125.54,26,24.38,0,4
A Mishra,381,440,31,5,55,86.59,32,11.91,0,0
A Symonds,974,781,74,41,36,124.71,27,36.07,1,5
AA Jhunjhunwala,217,218,19,5,15,99.54,13,16.69,0,1
AB de Villiers,5162,3479,413,251,170,148.38,130,39.71,3,40
AC Gilchrist,2069,1555,239,92,80,133.05,76,27.22,2,11
AD Mathews,724,599,44,29,41,120.87,31,23.35,0,1
AD Russell,2484,1512,170,209,104,164.29,85,29.22,0,11
AJ Finch,2091,1692,214,78,90,123.58,84,24.89,0,15
AK Markram,995,787,73,35,42,126.43,33,30.15,0,5
AL Menaria,401,367,24,18,23,109.26,21,19.1,0,0
AM Nayar,672,588,55,20,50,114.29,38,17.68,0,0
AM Rahane,4642,3858,479,103,171,120.32,154,30.14,2,30
AP Tare,339,285,40,11,27,118.95,24,14.12,0,1
AR Patel,1653,1318,107,79,112,125.42,77,21.47,0,3
AT Rayudu,4348,3490,359,173,185,124.58,155,28.05,1,22
Abdul Samad,577,406,37,36,39,142.12,30,19.23,0,0
Abhishek Sharma,1377,925,128,73,61,148.86,54,25.5,0,7
Abishek Porel,360,244,37,15,16,147.54,14,25.71,0,2
Anuj Rawat,318,276,26,14,21,115.22,16,19.88,0,1
Azhar Mahmood,388,311,39,13,21,124.76,19,20.42,0,2
B Chipli,280,256,28,7,21,109.38,15,18.67,0,1
B Kumar,306,338,30,3,65,90.53,35,8.74,0,0
B Sai Sudharsan,1034,770,95,32,25,134.29,22,47.0,1,6
BA Stokes,935,718,81,32,43,130.22,38,24.61,2,2
BB McCullum,2880,2267,293,130,109,127.04,104,27.69,2,13
BJ Hodge,1400,1153,122,43,63,121.42,42,33.33,0,6
C Green,707,472,62,32,28,149.79,17,41.59,1,2
C de Grandhomme,303,229,18,18,21,132.31,16,18.94,0,0
CA Lynn,1329,974,132,66,42,136.45,39,34.08,0,10
CA Pujara,390,403,50,4,22,96.77,19,20.53,0,1
CH Gayle,4965,3502,405,357,141,141.78,125,39.72,6,31
CH Morris,618,413,41,35,49,149.64,28,22.07,0,2
CJ Anderson,538,436,40,31,29,123.39,22,24.45,0,3
CL White,954,769,76,36,45,124.06,36,26.5,0,6
D Padikkal,1559,1323,170,42,64,117.84,62,25.15,1,9
DA Miller,2924,2170,207,134,123,134.75,81,36.1,1,13
DA Warner,6565,4844,663,236,184,135.53,162,40.52,4,62
DB Das,304,267,23,16,22,113.86,14,21.71,0,0
DB Ravi Teja,375,325,35,9,25,115.38,19,19.74,0,1
DJ Bravo,1560,1247,120,66,110,125.1,69,22.61,0,5
DJ Hooda,1465,1169,96,61,96,125.32,80,18.31,0,8
DJ Hussey,1322,1101,90,60,61,120.07,49,26.98,0,5
DJ Mitchell,351,274,28,10,15,128.1,13,27.0,0,2
DJG Sammy,295,251,15,18,20,117.53,15,19.67,0,1
DP Conway,924,669,100,30,22,138.12,19,48.63,0,9
DPMD Jayawardene,1802,1520,200,39,78,118.55,63,28.6,1,10
DR Smith,2385,1803,245,117,88,132.28,84,28.39,0,17
DT Christian,460,408,23,19,41,112.75,31,14.84,0,0
Dhruv Jurel,347,237,29,16,22,146.41,15,23.13,0,2
E Lewis,654,499,62,36,26,131.06,24,27.25,0,4
EJG Morgan,1405,1179,112,64,74,119.17,62,22.66,0,5
F du Plessis,4571,3435,422,166,138,133.07,127,35.99,0,37
G Gambhir,4217,3524,492,59,151,119.67,136,31.01,0,36
GC Smith,739,691,94,9,29,106.95,26,28.42,0,4
GH Vihari,284,331,23,1,23,85.8,20,14.2,0,0
GJ Bailey,663,552,59,19,36,120.11,27,24.56,0,2
GJ Maxwell,2771,1841,233,160,128,150.52,112,24.74,0,18
Gurkeerat Singh,511,436,55,11,32,117.2,24,21.29,0,2
H Klaasen,993,613,56,64,32,161.99,26,38.19,1,6
HH Gibbs,886,837,83,31,36,105.85,32,27.69,0,6
HH Pandya,2525,1808,189,136,128,139.66,88,28.69,0,10
HM Amla,577,418,60,21,16,138.04,13,44.38,2,3
HV Patel,249,214,16,15,37,116.36,27,9.22,0,0
Harbhajan Singh,833,636,79,42,88,130.97,55,15.15,0,1
Harpreet Brar,233,201,19,9,24,115.92,11,21.18,0,0
IK Pathan,1139,981,87,37,82,116.11,53,21.49,0,1
Ishan Kishan,2644,1991,255,119,99,132.8,93,28.43,0,16
J Botha,409,364,39,5,28,112.36,20,20.45,0,1
JA Morkel,974,711,61,55,67,136.99,40,24.35,0,3
JC Buttler,3582,2517,356,161,106,142.31,94,38.11,7,19
JD Ryder,604,466,69,19,29,129.61,28,21.57,0,4
JEC Franklin,327,309,25,9,16,105.83,11,29.73,0,1
JH Kallis,2427,2291,255,44,95,105.94,85,28.55,0,17
JJ Roy,614,460,75,21,21,133.48,19,32.32,0,4
JM Bairstow,1589,1132,166,69,50,140.37,46,34.54,2,9
JM Sharma,730,501,53,45,36,145.71,32,22.81,0,0
JO Holder,259,217,13,18,27,119.35,21,12.33,0,0
JP Duminy,2029,1680,126,79,75,120.77,51,39.78,0,14
JP Faulkner,527,405,36,23,45,130.12,25,21.08,0,0
JR Hopes,417,314,49,11,19,132.8,16,26.06,0,4
K Goel,218,239,17,9,16,91.21,15,14.53,0,0
K Rabada,206,207,16,8,28,99.52,17,12.12,0,0
KA Pollard,3412,2433,218,223,168,140.24,119,28.67,0,16
KC Sangakkara,1687,1424,195,27,68,118.47,65,25.95,0,10
KD Karthik,4842,3684,466,161,233,131.43,184,26.32,0,22
KH Pandya,1647,1287,144,61,107,127.97,75,21.96,0,1
KK Nair,1496,1192,161,39,68,125.5,63,23.75,0,10
KL Rahul,4683,3572,400,187,122,131.1,103,45.47,4,37
KM Jadhav,1208,1012,102,40,81,119.37,54,22.37,0,4
KP Pietersen,1001,758,91,40,36,132.06,28,35.75,1,4
KR Mayers,379,276,38,22,13,137.32,13,29.15,0,4
KS Williamson,2128,1731,186,64,76,122.93,60,35.47,0,18
KV Sharma,351,306,20,17,39,114.71,26,13.5,0,0
Kuldeep Yadav,183,224,16,3,32,81.7,12,15.25,0,0
LA Pomersbach,302,251,25,13,16,120.32,11,27.45,0,1
LMP Simmons,1079,878,109,44,29,122.89,27,39.96,1,11
LR Shukla,405,358,33,16,33,113.13,27,15.0,0,0
LRPL Taylor,1017,847,66,46,54,120.07,40,25.42,0,3
LS Livingstone,939,609,66,66,39,154.19,33,28.45,0,6
Lalit Yadav,305,301,27,7,21,101.33,16,19.06,0,0
M Kaif,259,258,22,6,22,100.39,18,14.39,0,0
M Manhas,514,486,43,10,38,105.76,23,22.35,0,0
M Shahrukh Khan,553,413,35,37,37,133.9,28,19.75,0,1
M Vijay,2619,2208,247,91,105,118.61,101,25.93,2,13
M Vohra,1083,863,104,43,51,125.49,49,22.1,0,3
MA Agarwal,2661,2079,263,98,121,127.99,117,22.74,1,13
MC Henriques,1000,801,87,28,54,124.84,36,27.78,0,5
MD Mishra,237,213,24,8,17,111.27,16,14.81,0,0
MEK Hussey,1977,1648,198,52,58,119.96,51,38.76,1,15
MK Lomror,527,389,33,30,35,135.48,29,18.17,0,1
MK Pandey,3850,3284,335,110,158,117.24,132,29.17,1,22
MK Tiwary,1695,1489,156,40,83,113.83,59,28.73,0,7
ML Hayden,1107,838,121,44,32,132.1,30,36.9,0,8
MM Ali,1162,849,95,67,57,136.87,51,22.78,0,6
MP Stoinis,1866,1366,150,91,88,136.6,66,28.27,1,9
MR Marsh,665,532,48,38,36,125.0,34,19.56,0,3
MS Bisla,798,737,93,23,39,108.28,38,21.0,0,4
MS Dhoni,5243,3947,363,252,228,132.84,134,39.13,0,24
