bowler,balls_bowled,runs_conceded,wickets,dot_balls,economy,bowling_avg,dot_ball_pct
A Ashish Reddy,270,400,18,79,8.89,22.22,29.26
A Kumble,983,1089,45,374,6.65,24.2,38.05
A Mishra,3444,4193,174,1185,7.3,24.1,34.41
A Mithun,312,477,7,90,9.17,68.14,28.85
A Nehra,1974,2537,106,798,7.71,23.93,40.43
A Nortje,1097,1614,60,401,8.83,26.9,36.55
A Singh,486,639,28,189,7.89,22.82,38.89
A Symonds,540,694,20,190,7.71,34.7,35.19
A Zampa,425,562,29,129,7.93,19.38,30.35
AA Chavan,255,339,8,100,7.98,42.38,39.22
AB Agarkar,820,1174,29,254,8.59,40.48,30.98
AB Dinda,1589,2103,69,627,7.94,30.48,39.46
AC Thomas,327,416,14,126,7.63,29.71,38.53
AD Mascarenhas,310,365,19,124,7.06,19.21,40.0
AD Mathews,807,1095,27,224,8.14,40.56,27.76
AD Russell,1771,2691,115,584,9.12,23.4,32.98
AG Murtaza,269,322,9,101,7.18,35.78,37.55
AJ Tye,714,1005,42,208,8.45,23.93,29.13
AN Ahmed,362,515,12,120,8.54,42.92,33.15
AR Patel,3146,3817,123,1019,7.28,31.03,32.39
AS Joseph,454,707,21,162,9.34,33.67,35.68
AS Rajpoot,567,844,24,192,8.93,35.17,33.86
Abhishek Sharma,278,396,11,70,8.55,36.0,25.18
Akash Madhwal,279,431,19,83,9.27,22.68,29.75
Ankit Sharma,375,453,12,137,7.25,37.75,36.53
Anureet Singh,430,636,18,139,8.87,35.33,32.33
Arshdeep Singh,1453,2097,76,472,8.66,27.59,32.48
Avesh Khan,1390,2010,74,491,8.68,27.16,35.32
Azhar Mahmood,552,707,29,199,7.68,24.38,36.05
B Kumar,4060,5051,181,1632,7.46,27.91,40.2
B Lee,916,1126,25,374,7.38,45.04,40.83
BA Bhatt,303,408,12,93,8.08,34.0,30.69
BA Stokes,723,1023,28,228,8.49,36.54,31.54
BAW Mendis,244,288,8,76,7.08,36.0,31.15
BB Sran,516,767,18,168,8.92,42.61,32.56
BCJ Cutting,288,430,10,77,8.96,43.0,26.74
BW Hilfenhaus,390,497,22,173,7.65,22.59,44.36
Basil Thampi,539,862,22,152,9.6,39.18,28.2
Bipul Sharma,436,581,17,131,8.0,34.18,30.05
C Green,462,675,16,149,8.77,42.19,32.25
C Sakariya,460,610,20,143,7.96,30.5,31.09
CH Gayle,584,755,18,180,7.76,41.94,30.82
CH Morris,1794,2362,95,666,7.9,24.86,37.12
CJ Anderson,315,525,11,79,10.0,47.73,25.08
CJ Jordan,709,1100,30,205,9.31,36.67,28.91
CR Brathwaite,266,384,13,74,8.66,29.54,27.82
CR Woakes,463,674,30,161,8.73,22.47,34.77
CRD Fernando,249,306,17,99,7.37,18.0,39.76
CV Varun,1624,2042,83,582,7.54,24.6,35.84
D Wiese,307,447,16,82,8.74,27.94,26.71
DE Bollinger,600,716,37,254,7.16,19.35,42.33
DJ Bravo,3296,4436,183,998,8.08,24.24,30.28
DJ Hooda,384,535,10,101,8.36,53.5,26.3
DJ Hussey,323,485,8,86,9.01,60.62,26.63
DJG Sammy,244,354,11,72,8.7,32.18,29.51
DL Chahar,1746,2243,77,708,7.71,29.13,40.55
DL Vettori,785,894,28,270,6.83,31.93,34.39
DP Nannes,689,815,28,285,7.1,29.11,41.36
DR Sams,389,528,14,142,8.14,37.71,36.5
DR Smith,557,825,26,168,8.89,31.73,30.16
DS Kulkarni,1876,2513,86,742,8.04,29.22,39.55
DT Christian,922,1218,38,296,7.93,32.05,32.1
DW Steyn,2276,2568,97,1019,6.77,26.47,44.77
GB Hogg,466,585,23,159,7.53,25.43,34.12
GD McGrath,329,366,12,153,6.67,30.5,46.5
GJ Maxwell,965,1311,37,301,8.15,35.43,31.19
HH Pandya,1485,2196,64,481,8.87,34.31,32.39
HV Patel,2284,3215,135,710,8.45,23.81,31.09
Harbhajan Singh,3496,4101,150,1263,7.04,27.34,36.13
Harmeet Singh,574,747,27,201,7.81,27.67,35.02
Harpreet Brar,692,907,25,229,7.86,36.28,33.09
Harshit Rana,403,590,25,148,8.78,23.6,36.72
I Sharma,2429,3255,92,969,8.04,35.38,39.89
IC Pandey,469,609,18,212,7.79,33.83,45.2
IK Pathan,2113,2711,80,835,7.7,33.89,39.52
Imran Tahir,1340,1729,82,437,7.74,21.09,32.61
Iqbal Abdulla,943,1125,40,331,7.16,28.12,35.1
J Botha,709,818,25,254,6.92,32.72,35.83
J Suchith,434,604,19,140,8.35,31.79,32.26
J Yadav,398,447,8,153,6.74,55.88,38.44
JA Morkel,1807,2409,85,646,8.0,28.34,35.75
JC Archer,987,1210,48,420,7.36,25.21,42.55
JD Ryder,241,314,8,79,7.82,39.25,32.78
JD Unadkat,2194,3219,99,684,8.8,32.52,31.18
JDP Oram,244,362,9,79,8.9,40.22,32.38
JH Kallis,1799,2348,65,601,7.83,36.12,33.41
JJ Bumrah,3161,3810,165,1222,7.23,23.09,38.66
JO Holder,1049,1489,53,321,8.52,28.09,30.6
JP Behrendorff,379,563,19,139,8.91,29.63,36.68
JP Duminy,701,847,23,234,7.25,36.83,33.38
JP Faulkner,1276,1827,59,397,8.59,30.97,31.11
JR Hazlewood,622,830,35,259,8.01,23.71,41.64
JR Hopes,369,562,14,105,9.14,40.14,28.46
Joginder Sharma,272,421,12,71,9.29,35.08,26.1
K Gowtham,599,825,21,206,8.26,39.29,34.39
K Kartikeya,241,334,10,69,8.32,33.4,28.63
K Rabada,1898,2643,117,713,8.36,22.59,37.57
KA Pollard,1586,2200,69,405,8.32,31.88,25.54
KH Pandya,2183,2644,76,676,7.27,34.79,30.97
KK Ahmed,1345,1918,74,512,8.56,25.92,38.07
KK Cooper,600,789,33,184,7.89,23.91,30.67
KR Sen,255,396,14,83,9.32,28.29,32.55
KV Sharma,1520,2130,76,483,8.41,28.03,31.78
KW Richardson,345,479,19,129,8.33,25.21,37.39
Kartik Tyagi,458,720,15,148,9.43,48.0,32.31
Kuldeep Yadav,1786,2413,87,520,8.11,27.74,29.12
L Balaji,1574,2083,76,537,7.94,27.41,34.12
L Ngidi,342,460,25,131,8.07,18.4,38.3
LH Ferguson,999,1449,46,349,8.7,31.5,34.93
LR Shukla,326,458,15,109,8.43,30.53,33.44
LS Livingstone,267,395,11,71,8.88,35.91,26.59
Lalit Yadav,294,430,10,82,8.78,43.0,27.89
M Ashwin,898,1182,35,283,7.9,33.77,31.51
M Jansen,487,732,20,176,9.02,36.6,36.14
M Kartik,1182,1418,31,382,7.2,45.74,32.32
M Markande,737,1081,37,210,8.8,29.22,28.49
M Morkel,1699,2136,77,708,7.54,27.74,41.67
M Muralitharan,1577,1755,63,598,6.68,27.86,37.92
M Pathirana,503,617,34,160,7.36,18.15,31.81
M Prasidh Krishna,1225,1731,49,474,8.48,35.33,38.69
M Theekshana,631,814,25,190,7.74,32.56,30.11
MA Starc,879,1175,51,334,8.02,23.04,38.0
MC Henriques,979,1302,42,306,7.98,31.0,31.26
MF Maharoof,441,532,27,165,7.24,19.7,37.41
MG Johnson,1297,1734,61,533,8.02,28.43,41.09
MJ McClenaghan,1346,1839,71,507,8.2,25.9,37.67
MJ Santner,370,428,15,134,6.94,28.53,36.22
MM Ali,770,900,35,266,7.01,25.71,34.55
MM Patel,1382,1733,74,590,7.52,23.42,42.69
MM Sharma,2308,3278,132,782,8.52,24.83,33.88
MP Stoinis,831,1300,43,219,9.39,30.23,26.35
MR Marsh,593,803,37,181,8.12,21.7,30.52
MS Gony,925,1317,37,348,8.54,35.59,37.62
Mohammad Nabi,419,527,15,146,7.55,35.13,34.84
Mohammed Shami,2512,3478,127,982,8.31,27.39,39.09
Mohammed Siraj,2081,2894,93,806,8.34,31.12,38.73
Mohsin Khan,507,698,27,209,8.26,25.85,41.22
Mujeeb Ur Rahman,452,598,19,147,7.94,31.47,32.52
Mukesh Choudhary,298,452,16,120,9.1,28.25,40.27
Mukesh Kumar,420,707,24,130,10.1,29.46,30.95
Mustafizur Rahman,1353,1792,61,464,7.95,29.38,34.29
NLTC Perera,715,1031,31,227,8.65,33.26,31.75
NM Coulter-Nile,892,1125,48,368,7.57,23.44,41.26
NT Ellis,365,514,18,112,8.45,28.56,30.68
Navdeep Saini,676,961,23,270,8.53,41.78,39.94
Naveen-ul-Haq,407,602,25,133,8.87,24.08,32.68
Noor Ahmad,513,672,24,171,7.86,28.0,33.33
P Awana,774,1046,39,293,8.11,26.82,37.86
P Kumar,2637,3342,90,1075,7.6,37.13,40.77
P Negi,733,954,34,237,7.81,28.06,32.33
PJ Cummins,1370,1976,63,467,8.65,31.37,34.09
PJ Sangwan,905,1267,38,319,8.4,33.34,35.25
PP Chawla,3895,5179,192,1325,7.98,26.97,34.02
PP Ojha,1945,2399,89,667,7.4,26.96,34.29
PV Tambe,674,866,28,204,7.71,30.93,30.27
PVD Chameera,297,442,9,122,8.93,49.11,41.08
