batter,playoff_innings_count,playoff_runs,playoff_avg,league_innings_count,league_runs,league_avg,cfi
M Vijay,9,363,40.33,96,2256,23.5,1.716
Shubman Gill,10,474,47.4,89,2742,30.81,1.538
WP Saha,10,288,28.8,133,2646,19.89,1.448
YK Pathan,10,270,27.0,143,2934,20.52,1.316
SA Yadav,9,306,34.0,126,3288,26.1,1.303
PA Patel,9,231,25.67,127,2617,20.61,1.246
SR Watson,12,389,32.42,129,3485,27.02,1.2
DR Smith,10,313,31.3,78,2072,26.56,1.178
MK Pandey,9,255,28.33,149,3595,24.13,1.174
SK Raina,23,714,31.04,177,4814,27.2,1.141
KA Pollard,15,322,21.47,153,3090,20.2,1.063
AM Rahane,10,273,27.3,161,4369,27.14,1.006
MEK Hussey,10,339,33.9,48,1638,34.12,0.994
KH Pandya,9,136,15.11,98,1511,15.42,0.98
AB de Villiers,10,294,29.4,160,4868,30.42,0.966
MS Dhoni,22,472,21.45,206,4771,23.16,0.926
HH Pandya,13,225,17.31,115,2300,20.0,0.865
SS Iyer,9,214,23.78,105,2913,27.74,0.857
SO Hetmyer,9,148,16.44,56,1095,19.55,0.841
DJ Hooda,8,104,13.0,88,1361,15.47,0.84
DJ Bravo,11,133,12.09,99,1427,14.41,0.839
KD Karthik,17,294,17.29,216,4548,21.06,0.821
JA Morkel,8,95,11.88,59,879,14.9,0.797
DA Warner,8,228,28.5,176,6337,36.01,0.791
F du Plessis,15,390,26.0,123,4181,33.99,0.765
RV Uthappa,10,191,19.1,187,4761,25.46,0.75
SP Narine,9,97,10.78,97,1437,14.81,0.728
R Ashwin,9,59,6.56,80,741,9.26,0.708
Shakib Al Hasan,10,114,11.4,42,679,16.17,0.705
SV Samson,9,176,19.56,153,4243,27.73,0.705
V Kohli,15,341,22.73,229,7663,33.46,0.679
RA Jadeja,12,131,10.92,168,2828,16.83,0.649
RA Tripathi,9,144,16.0,84,2092,24.9,0.643
AT Rayudu,20,312,15.6,165,4036,24.46,0.638
Harbhajan Singh,9,55,6.11,79,778,9.85,0.62
S Dhawan,17,320,18.82,204,6449,31.61,0.595
RG Sharma,19,302,15.89,232,6326,27.27,0.583
G Gambhir,8,113,14.12,143,4104,28.7,0.492
