batter,total_runs,strike_rate,wickets,economy,mvp_score
YS Chahal,0.0,0.0,205.0,7.74,306.73
PP Chawla,624.0,107.59,192.0,7.98,294.52
DJ Bravo,1560.0,125.1,183.0,8.08,290.54
SP Narine,1534.0,155.89,180.0,6.76,286.22
R Ashwin,800.0,114.61,180.0,6.97,278.45
B Kumar,306.0,90.53,181.0,7.46,274.72
RA Jadeja,2959.0,124.43,160.0,7.57,270.08
A Mishra,381.0,86.59,174.0,7.3,264.95
SL Malinga,0.0,0.0,170.0,7.03,254.3
JJ Bumrah,0.0,0.0,165.0,7.23,246.78
Harbhajan Singh,833.0,130.97,150.0,7.04,233.94
Rashid Khan,545.0,153.52,149.0,6.9,229.8
UT Yadav,208.0,98.58,144.0,8.34,218.23
HV Patel,249.0,116.36,135.0,8.45,205.31
Sandeep Sharma,0.0,0.0,137.0,7.71,204.73
AR Patel,1653.0,125.42,123.0,7.28,201.56
AD Russell,2484.0,164.29,115.0,9.12,198.07
MM Sharma,0.0,0.0,132.0,8.52,197.15
Mohammed Shami,0.0,0.0,127.0,8.31,189.67
TA Boult,0.0,0.0,121.0,8.1,180.69
K Rabada,206.0,99.52,117.0,8.36,177.72
SR Watson,3874.0,134.14,92.0,7.7,177.31
R Vinay Kumar,310.0,107.27,105.0,8.32,160.84
A Nehra,0.0,0.0,106.0,7.71,158.23
Z Khan,0.0,0.0,102.0,7.54,152.25
CH Morris,618.0,149.64,95.0,7.9,149.39
JD Unadkat,0.0,0.0,99.0,8.8,147.62
DW Steyn,0.0,0.0,97.0,6.77,144.82
SN Thakur,307.0,134.65,94.0,8.82,144.53
P Kumar,340.0,105.26,90.0,7.6,138.69
Mohammed Siraj,0.0,0.0,93.0,8.34,138.67
KA Pollard,3412.0,140.24,69.0,8.32,138.19
JA Morkel,974.0,136.99,85.0,8.0,137.81
I Sharma,0.0,0.0,92.0,8.04,137.2
RP Singh,0.0,0.0,90.0,7.74,134.23
PP Ojha,0.0,0.0,89.0,7.4,132.76
Kuldeep Yadav,183.0,81.7,87.0,8.11,132.34
IK Pathan,1139.0,116.11,80.0,7.7,131.78
KH Pandya,1647.0,127.97,76.0,7.27,131.02
DS Kulkarni,0.0,0.0,86.0,8.04,128.2
CV Varun,0.0,0.0,83.0,7.54,123.75
Imran Tahir,0.0,0.0,82.0,7.74,122.23
JH Kallis,2427.0,105.94,65.0,7.83,122.05
HH Pandya,2525.0,139.66,64.0,8.87,121.76
KV Sharma,351.0,114.71,76.0,8.41,117.82
M Morkel,0.0,0.0,77.0,7.54,114.75
DL Chahar,0.0,0.0,77.0,7.71,114.73
L Balaji,0.0,0.0,76.0,7.94,113.21
Arshdeep Singh,0.0,0.0,76.0,8.66,113.13
RD Chahar,0.0,0.0,75.0,7.65,111.74
R Bhatia,342.0,117.93,71.0,7.44,110.36
MM Patel,0.0,0.0,74.0,7.52,110.25
KK Ahmed,0.0,0.0,74.0,8.56,110.14
Avesh Khan,0.0,0.0,74.0,8.68,110.13
MJ McClenaghan,0.0,0.0,71.0,8.2,105.68
Shakib Al Hasan,793.0,119.61,63.0,7.38,102.89
AB Dinda,0.0,0.0,69.0,7.94,102.71
PJ Cummins,515.0,143.45,63.0,8.65,100.22
T Natarajan,0.0,0.0,67.0,8.57,99.64
SK Trivedi,0.0,0.0,65.0,7.49,96.75
SM Curran,883.0,131.2,58.0,9.35,96.21
YK Pathan,3204.0,137.51,42.0,7.31,95.68
JP Faulkner,527.0,130.12,59.0,8.59,94.21
M Muralitharan,0.0,0.0,63.0,6.68,93.83
Ravi Bishnoi,0.0,0.0,63.0,7.65,93.74
SK Raina,5528.0,132.44,25.0,7.35,93.37
MG Johnson,0.0,0.0,61.0,8.02,90.7
Mustafizur Rahman,0.0,0.0,61.0,7.95,90.7
RG Sharma,6628.0,127.95,15.0,7.94,89.27
A Nortje,0.0,0.0,60.0,8.83,89.12
SK Warne,198.0,90.41,57.0,7.19,87.67
V Kohli,8004.0,128.43,4.0,8.43,86.48
S Kaul,0.0,0.0,58.0,8.59,86.14
GJ Maxwell,2771.0,150.52,37.0,8.15,83.9
MP Stoinis,1866.0,136.6,43.0,9.39,83.59
JO Holder,259.0,119.35,53.0,8.52,82.43
Yuvraj Singh,2750.0,124.72,36.0,7.42,82.01
CH Gayle,4965.0,141.78,18.0,7.76,77.29
S Gopal,0.0,0.0,52.0,8.15,77.18
