pair,partnership_runs
AB de Villiers & V Kohli,3029
CH Gayle & V Kohli,2635
DA Warner & S Dhawan,2242
F du Plessis & V Kohli,1958
G Gambhir & RV Uthappa,1795
Ishan Kishan & RG Sharma,1769
KL Rahul & MA Agarwal,1664
CH Gayle & KL Rahul,1573
JC Buttler & SV Samson,1564
MS Dhoni & RA Jadeja,1506
MS Dhoni & SK Raina,1427
PP Shaw & S Dhawan,1423
DA Warner & JM Bairstow,1336
RR Pant & SS Iyer,1312
M Vijay & MEK Hussey,1302
KA Pollard & RG Sharma,1293
BB McCullum & DR Smith,1277
Q de Kock & RG Sharma,1217
DP Conway & RD Gaikwad,1156
JC Buttler & YBK Jaiswal,1133
MEK Hussey & SK Raina,1129
AT Rayudu & RG Sharma,1121
AM Rahane & SR Watson,1118
B Sai Sudharsan & Shubman Gill,1090
AM Rahane & R Dravid,1086
Shubman Gill & WP Saha,1070
F du Plessis & SK Raina,1013
MK Pandey & RV Uthappa,989
AT Rayudu & KA Pollard,984
Ishan Kishan & SA Yadav,937
BB McCullum & SK Raina,922
AM Rahane & SV Samson,920
G Gambhir & JH Kallis,915
D Padikkal & V Kohli,891
AC Gilchrist & HH Gibbs,866
G Gambhir & V Sehwag,866
CH Gayle & TM Dilshan,863
KL Rahul & Q de Kock,854
F du Plessis & RD Gaikwad,851
KS Williamson & S Dhawan,850
DA Warner & MK Pandey,850
HH Pandya & KA Pollard,846
S Dhawan & SS Iyer,840
F du Plessis & SR Watson,815
LMP Simmons & PA Patel,798
SV Samson & YBK Jaiswal,793
DJ Bravo & MS Dhoni,781
S Badrinath & SK Raina,780
G Gambhir & MK Pandey,776
AT Rayudu & MS Dhoni,775
DA Warner & PP Shaw,740
AT Rayudu & SR Watson,736
DJ Hooda & KL Rahul,735
R Dravid & SR Watson,721
DA Warner & V Sehwag,719
RG Sharma & SA Yadav,718
DR Smith & SK Raina,709
AM Rahane & SPD Smith,707
SA Yadav & Tilak Varma,702
CA Lynn & SP Narine,693
KK Nair & SV Samson,690
M Vijay & SK Raina,690
N Rana & Shubman Gill,673
Abhishek Sharma & TM Head,669
SR Tendulkar & ST Jayasuriya,667
DA Warner & NV Ojha,661
AD Russell & KD Karthik,654
MK Pandey & YK Pathan,650
MS Dhoni & S Badrinath,641
DA Warner & MC Henriques,637
CH Gayle & MA Agarwal,633
F du Plessis & GJ Maxwell,630
KL Rahul & MP Stoinis,622
AC Gilchrist & SE Marsh,617
D Padikkal & JC Buttler,617
JH Kallis & MK Pandey,613
AB de Villiers & TM Dilshan,589
AT Rayudu & SR Tendulkar,585
PA Patel & V Kohli,583
F du Plessis & MS Dhoni,577
AJ Finch & RV Uthappa,577
DA Miller & GJ Maxwell,574
A Symonds & RG Sharma,572
KD Karthik & SK Raina,566
KL Rahul & V Kohli,559
PP Shaw & SS Iyer,543
CL White & S Dhawan,539
KA Pollard & KH Pandya,533
Q de Kock & SA Yadav,523
AT Rayudu & SK Raina,522
AC Gilchrist & PC Valthaty,519
DPMD Jayawardene & V Sehwag,518
SK Raina & SR Watson,517
KL Rahul & N Pooran,515
PD Salt & SP Narine,508
BB McCullum & G Gambhir,508
CA Lynn & RV Uthappa,507
E Lewis & SA Yadav,500
AM Rahane & RA Tripathi,498
JH Kallis & RV Uthappa,497
HH Pandya & Shubman Gill,489
G Gambhir & S Dhawan,487
DR Smith & SR Tendulkar,485
Shubman Gill & VR Iyer,483
SPD Smith & SV Samson,480
N Rana & VR Iyer,477
KS Williamson & MK Pandey,459
ML Hayden & SK Raina,457
AT Rayudu & RD Gaikwad,457
GC Smith & SA Asnodkar,457
AM Rahane & JC Buttler,454
AB de Villiers & CH Gayle,453
A Badoni & N Pooran,452
PA Patel & S Dhawan,451
JA Morkel & MS Dhoni,450
Abhishek Sharma & KS Williamson,450
N Rana & RV Uthappa,447
M Vijay & ML Hayden,446
ML Hayden & PA Patel,445
JH Kallis & MS Bisla,445
