batting_team,phase,runs,balls,run_rate
Chennai Super Kings,Death (16-20),11094,6718,9.91
Chennai Super Kings,Middle (7-15),16544,13095,7.58
Chennai Super Kings,Power Play (1-6),10982,8833,7.46
Deccan Chargers,Death (16-20),3133,2103,8.94
Deccan Chargers,Middle (7-15),4913,4112,7.17
Deccan Chargers,Power Play (1-6),3417,2819,7.27
Delhi Capitals,Death (16-20),10179,6599,9.26
Delhi Capitals,Middle (7-15),16948,13697,7.42
Delhi Capitals,Power Play (1-6),12037,9415,7.67
Gujarat Lions,Death (16-20),1159,787,8.84
Gujarat Lions,Middle (7-15),2144,1654,7.78
Gujarat Lions,Power Play (1-6),1553,1117,8.34
Gujarat Titans,Death (16-20),2255,1311,10.32
Gujarat Titans,Middle (7-15),3318,2497,7.97
Gujarat Titans,Power Play (1-6),2184,1686,7.77
Kochi Tuskers Kerala,Death (16-20),390,305,7.67
Kochi Tuskers Kerala,Middle (7-15),831,744,6.7
Kochi Tuskers Kerala,Power Play (1-6),680,533,7.65
Kolkata Knight Riders,Death (16-20),10123,6457,9.41
Kolkata Knight Riders,Middle (7-15),17267,13622,7.61
Kolkata Knight Riders,Power Play (1-6),11905,9412,7.59
Lucknow Super Giants,Death (16-20),2108,1299,9.74
Lucknow Super Giants,Middle (7-15),3322,2457,8.11
Lucknow Super Giants,Power Play (1-6),2080,1644,7.59
Mumbai Indians,Death (16-20),11889,7275,9.81
Mumbai Indians,Middle (7-15),18062,14318,7.57
Mumbai Indians,Power Play (1-6),12182,9816,7.45
Pune Warriors,Death (16-20),1733,1282,8.11
Pune Warriors,Middle (7-15),2730,2481,6.6
Pune Warriors,Power Play (1-6),1895,1680,6.77
Punjab Kings,Death (16-20),10475,6775,9.28
Punjab Kings,Middle (7-15),17330,13472,7.72
Punjab Kings,Power Play (1-6),11748,9208,7.66
Rajasthan Royals,Death (16-20),9133,5926,9.25
Rajasthan Royals,Middle (7-15),15388,12123,7.62
Rajasthan Royals,Power Play (1-6),10191,8179,7.48
Rising Pune Supergiant,Death (16-20),1211,764,9.51
Rising Pune Supergiant,Middle (7-15),1899,1596,7.14
Rising Pune Supergiant,Power Play (1-6),1423,1120,7.62
Royal Challengers Bengaluru,Death (16-20),11330,6783,10.02
Royal Challengers Bengaluru,Middle (7-15),17497,13738,7.64
Royal Challengers Bengaluru,Power Play (1-6),11754,9484,7.44
Sunrisers Hyderabad,Death (16-20),7672,5079,9.06
Sunrisers Hyderabad,Middle (7-15),12462,9946,7.52
Sunrisers Hyderabad,Power Play (1-6),8900,6798,7.86
