season_year,orange_cap_winner,runs,purple_cap_winner,wickets,champion
2008,SE Marsh,616,Sohail Tanvir,22,Rajasthan Royals
2009,ML Hayden,572,RP Singh,23,Deccan Chargers
2010,SR Tendulkar,618,PP Ojha,21,Chennai Super Kings
2011,CH Gayle,608,SL Malinga,28,Chennai Super Kings
2012,CH Gayle,733,M Morkel,25,Kolkata Knight Riders
2013,MEK Hussey,733,DJ Bravo,32,Mumbai Indians
2014,RV Uthappa,660,MM Sharma,23,Kolkata Knight Riders
2015,DA Warner,562,DJ Bravo,26,Mumbai Indians
2016,V Kohli,973,B Kumar,23,Sunrisers Hyderabad
2017,DA Warner,641,B Kumar,26,Mumbai Indians
2018,KS Williamson,735,AJ Tye,24,Chennai Super Kings
2019,DA Warner,692,Imran Tahir,26,Mumbai Indians
2020,KL Rahul,670,K Rabada,30,Mumbai Indians
2021,RD Gaikwad,635,HV Patel,32,Chennai Super Kings
2022,JC Buttler,863,YS Chahal,27,Gujarat Titans
2023,Shubman Gill,890,Mohammed Shami,28,Chennai Super Kings
2024,V Kohli,741,HV Patel,24,Kolkata Knight Riders
