venue,avg_score,matches
"Arun Jaitley Stadium, Delhi",199.0625,16
"M Chinnaswamy Stadium, Bengaluru",196.21428571428572,14
"Eden Gardens, Kolkata",195.625,16
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",188.3846153846154,13
Brabourne Stadium,180.4,10
"Sawai Mansingh Stadium, Jaipur",179.5,10
"Brabourne Stadium, Mumbai",177.41176470588235,17
"Wankhede Stadium, Mumbai",177.11111111111111,45
"Narendra Modi Stadium, Ahmedabad",175.75,24
Punjab Cricket Association IS Bindra Stadium,175.6,10
M.Chinnaswamy Stadium,173.93333333333334,15
"Maharashtra Cricket Association Stadium, Pune",171.46153846153845,13
"Dr DY Patil Sports Academy, Mumbai",170.7,20
Saurashtra Cricket Association Stadium,168.9,10
Arun Jaitley Stadium,168.28571428571428,14
M Chinnaswamy Stadium,168.06153846153848,65
Maharashtra Cricket Association Stadium,166.4090909090909,22
Wankhede Stadium,166.02739726027397,73
"MA Chidambaram Stadium, Chepauk",166.02083333333334,48
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",165.42857142857142,14
"MA Chidambaram Stadium, Chepauk, Chennai",164.53571428571428,28
"Punjab Cricket Association IS Bindra Stadium, Mohali",164.0909090909091,11
Dubai International Cricket Stadium,163.7608695652174,46
"Punjab Cricket Association Stadium, Mohali",163.28571428571428,35
"Sardar Patel Stadium, Motera",163.16666666666666,12
Rajiv Gandhi International Stadium,162.6,15
Feroz Shah Kotla,161.63333333333333,60
Eden Gardens,160.1818181818182,77
Sharjah Cricket Stadium,159.03571428571428,28
Sheikh Zayed Stadium,158.86206896551724,29
Sawai Mansingh Stadium,157.68085106382978,47
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.46153846153845,13
"Rajiv Gandhi International Stadium, Uppal",156.14285714285714,49
SuperSport Park,154.83333333333334,12
Kingsmead,152.0,15
Subrata Roy Sahara Stadium,149.4375,16
Dr DY Patil Sports Academy,146.64705882352942,17
